Plants,Fact,Average Height,Source
Bald Cypress,"This tree helps stabilize soils, improve water quality, and mitigate climate change.",90,https://growbilliontrees.com/blogs/tree-stories/bald-cypress-tree-the-majestic-aquatic-wonder-transforming-wetlands-and-landscapes
Pecan,"This tree helps with carbon sequestration, provide food, and prevent soil erosion.",90,https://www.ericputnambcma.com/the-texas-pecan-tree-a-symbol-of-strength-and-sustainability?utm_source=chatgpt.com
Eastern Poison Ivy,"Posion ivy provide food for birds, flies, bees, caterpillars, and more",25,https://www.nps.gov/shen/learn/nature/poison_ivy.htm?utm_source=chatgpt.com
Dwarf Palmetto,"A variety of animals feed off its fruit, from robins to raccoons to squirrels.",6,https://plants.usda.gov/DocumentLibrary/plantguide/pdf/cs_sami8.pdf
Chinese Wisteria,Attracts butterflies and bees in mid to late spring time.,30,https://www.gardeningknowhow.com/gardening-pros-cons/pros-and-cons-of-growing-wisteria?utm_source=chatgpt.com
Texas Mountain Laurel,"The dense foliage can provide cover and shade, while its flowers help attract pollinators.",15,https://www.wildflower.org/plants/result.php?id_plant=sose3
Black Hickory,Acts as a host for the luna moth and regal moth.,70,https://lrsotree.uada.edu/gallery/black_hickory/?utm_source=chatgpt.com
Inland Wood Oats,Provides dense shade and seeds feed small mammals and birds. Its stems and leaves can also be used by birds to make nests.,3,https://www.wildflower.org/plants/result.php?id_plant=chla5
Twisted-leaf Yucca,"This plant is low-maintenance and can thrive in dry, shady, spots with limited water. Atracts butterflies!",2,https://www.wildflower.org/plants/result.php?id_plant=yuru&utm_source=chatgpt.com
Cedar Elm,"Provides lots of shade, especially in the summer. Birds and squirrels feed off its seeds.",60,https://www.npsot.org/posts/the-many-beneficial-traits-of-cedar-elm/?utm_source=chatgpt.com